Doctor ID,Doctor Name,Specialization,Rating,Location,Availability
DOC001,Dr. Kader Sahib Ashraf,Cardiologist,4.8,"Apollo Speciality Hospitals | Best Hospital in Trichy, Chennai Bypass Road Ariyamangalam Area, Old Palpannai, Tiruchirappalli, Tamil Nadu 620008",Mon-Fri (9AM-12PM)
DOC002,Dr. Vijay Shekar P,Cardiologist,4.7,"Kauvery Hospital, 6, Royal Rd, Cantonment, Tiruchirappalli, Tamil Nadu 620001",Mon-Sat (9AM-1PM)
DOC003,Dr. Arun Kumar,Cardiologist,4.4,"Olympia Hospital & Research Centre,47, 47-A, Puthur High Rd, Puthur, Tiruchirappalli, Tamil Nadu 620017",Mon-Fri (2PM-5PM)
DOC004,Dr. Suresh Babu,Cardiologist,4.2,"Shwetha Speciality hospital,11th Cross W, West Thillai Nagar, Tennur, Tiruchirappalli, Tamil Nadu 620018",Mon–Fri (10AM–1PM)
DOC005,Dr. Ramesh Iyer,Rheumatologist,4.5,"City Medical Centre,8-B/C/D, 11th Cross E Rd, Thillai Nagar East, Seshapuram, Tennur, Tiruchirappalli, Tamil Nadu 620017",Tue-Sun (4PM-8PM)
DOC006,Dr. Prakash Rao,Rheumatologist,4.3,"Nalam Hospital,158, Highways Colony Main Rd, Sundarraj Nagar, Subramaniyapuram, Sangillyandapuram, Tiruchirappalli, Tamil Nadu 620020",Mon-Fri (9AM-12PM)
DOC007,Dr. Senthil Nathan,Rheumatologist,4.7,"Frontline Hospital, 37 & 39, near Anna Statue, Chinthamani Bazaar, Melachinthamani, Tiruchirappalli, Tamil Nadu 620002",Mon-Sat (9AM-1PM)
DOC008,Dr. Balaji R,Oral Surgeon,4.1,"Sri Ramakrishna Specialty Hospitals Pvt.Ltd., B20, 2nd Cross Rd, West Thillai Nagar, Tiruchirappalli, Tamil Nadu 620018",Mon-Fri (2PM-5PM)
DOC009,Dr. Mahesh Kumar,Oral Surgeon,4.6,"ATLAS HOSPITALS - ORTHO HOSPITAL (Multi speciality Hospital),First Cross, 34/1, Karur Bypass Rd, near Chathiram, V N Nagar, CHinthamani, Tiruchirappalli, Tamil Nadu 620002",Mon–Fri (10AM–1PM)
DOC010,Dr. Vigneshwaran,Oral Surgeon,4.4,"Sundaram Hospital,No 20, EVR Main Road, Aruna Nagar, Puthur, Thillai Nagar, Tiruchirappalli, Tamil Nadu 620017",Tue-Sun (4PM-8PM)
DOC011,Dr. S. Fazal,Neurologist,4.9,"Viswanathan Speciality Hospitals, No-25 A1/A2, Trichy Chennai Trunk Rd, Near Jaipur Bhavan Function Hall, Tiruchirappalli, Tamil Nadu 620005",Mon-Fri (9AM-12PM)
DOC012,Dr. Mayilan Chinnappan,Neurologist,4.7,"JJ Hospital,  Cheran Salai St, LIC Colony, Ayyappa Nagar, K K Nagar, Tiruchirappalli, Tamil Nadu 620021",Mon-Sat (9AM-1PM)
DOC013,Dr. Arvind Kumar,Neurologist,4.5,"ATLAS HOSPITALS - ORTHO HOSPITAL (Multi speciality Hospital),First Cross, 34/1, Karur Bypass Rd, near Chathiram, V N Nagar, CHinthamani, Tiruchirappalli, Tamil Nadu 620002",Mon-Fri (2PM-5PM)
DOC014,Dr. Naveen Prasad,Neurologist,4.3,"City Medical Centre,8-B/C/D, 11th Cross E Rd, Thillai Nagar East, Seshapuram, Tennur, Tiruchirappalli, Tamil Nadu 620017",Mon–Fri (10AM–1PM)
DOC015,Dr. Sanjay Krishnan,Ophthalmologist,4.6,"Shwetha Speciality hospital,11th Cross W, West Thillai Nagar, Tennur, Tiruchirappalli, Tamil Nadu 620018",Tue-Sun (4PM-8PM)
DOC016,Dr. Karthik M,Ophthalmologist,4.4,"CSI Mission General Hospital, 8, Salai Rd, near St.Paul's Church, Ramlinga Nagar, Woraiyur, Tiruchirappalli, Tamil Nadu 620003",Mon-Fri (9AM-12PM)
DOC017,Dr. Ashok Raj,Ophthalmologist,4.2,"Nehru Hospital 24 Hour Service,No 21, Anna Street Main Road, Sangliandapuram, Sangillyandapuram, Tiruchirappalli, Tamil Nadu 620001",Mon-Sat (9AM-1PM)
DOC018,Dr. Prem Anand,Oncologist,4.5,"Galaxy Chest Multi Specialty Hospital, B-35 11th Cross East Road, 9A Cross Rd, Tiruchirappalli, Tamil Nadu 620017",Mon-Fri (2PM-5PM)
DOC019,Dr. Vimal Raj,Oncologist,4.6,"Sudha Hospital,RMFP+26P, 7th Cross St W, Thillai Nagar East, Thillai Nagar, Tiruchirappalli, Tamil Nadu 620018",Mon–Fri (10AM–1PM)
DOC020,Dr. Ganesh Kumar,Oncologist,4.3,"American Hospital,RM4P+6H5, Melapudur, Sangillyandapuram, Tiruchirappalli, Tamil Nadu 620001",Tue-Sun (4PM-8PM)
DOC021,Dr. Kamal Uddin,Dermatologist,4.7,"JJ Hospital,  Cheran Salai St, LIC Colony, Ayyappa Nagar, K K Nagar, Tiruchirappalli, Tamil Nadu 620021",Mon-Fri (9AM-12PM)
DOC022,Dr. Priya Raman,Dermatologist,4.5,"Nehru Hospital 24 Hour Service,No 21, Anna Street Main Road, Sangliandapuram, Sangillyandapuram, Tiruchirappalli, Tamil Nadu 620001",Mon-Sat (9AM-1PM)
